"YEAR","STATE","STATE.NAME","COUNTY","COUNTY.NAME","FATALITIES"
1975,1,"Alabama",1,"Autauga",2
1975,1,"Alabama",3,"Baldwin",30
1975,1,"Alabama",5,"Barbour",9
1975,1,"Alabama",7,"Bibb",3
1975,1,"Alabama",9,"Blount",12
1975,1,"Alabama",11,"Bullock",6
1975,1,"Alabama",13,"Butler",12
1975,1,"Alabama",15,"Calhoun",24
1975,1,"Alabama",17,"Chambers",10
1975,1,"Alabama",19,"Cherokee",2
1975,1,"Alabama",21,"Chilton",15
1975,1,"Alabama",23,"Choctaw",3
1975,1,"Alabama",25,"Clarke",10
1975,1,"Alabama",27,"Clay",6
1975,1,"Alabama",29,"Cleburne",2
1975,1,"Alabama",31,"Coffee",9
1975,1,"Alabama",33,"Colbert",15
1975,1,"Alabama",35,"Conecuh",12
1975,1,"Alabama",37,"Coosa",7
1975,1,"Alabama",39,"Covington",17
1975,1,"Alabama",41,"Crenshaw",6
1975,1,"Alabama",43,"Cullman",15
1975,1,"Alabama",45,"Dale",10
1975,1,"Alabama",47,"Dallas",17
1975,1,"Alabama",49,"De Kalb",8
1975,1,"Alabama",51,"Elmore",18
1975,1,"Alabama",53,"Escambia",11
1975,1,"Alabama",55,"Etowah",17
1975,1,"Alabama",57,"Fayette",3
1975,1,"Alabama",59,"Franklin",7
1975,1,"Alabama",61,"Geneva",7
1975,1,"Alabama",63,"Greene",14
1975,1,"Alabama",65,"Hale",8
1975,1,"Alabama",67,"Henry",6
1975,1,"Alabama",69,"Houston",12
1975,1,"Alabama",71,"Jackson",11
1975,1,"Alabama",73,"Jefferson",112
1975,1,"Alabama",75,"Lamar",3
1975,1,"Alabama",77,"Lauderdale",18
1975,1,"Alabama",79,"Lawrence",7
1975,1,"Alabama",81,"Lee",24
1975,1,"Alabama",83,"Limestone",9
1975,1,"Alabama",85,"Lowndes",6
1975,1,"Alabama",87,"Macon",5
1975,1,"Alabama",89,"Madison",33
1975,1,"Alabama",91,"Marengo",7
1975,1,"Alabama",93,"Marion",8
1975,1,"Alabama",95,"Marshall",21
1975,1,"Alabama",97,"Mobile",59
1975,1,"Alabama",99,"Monroe",2
1975,1,"Alabama",101,"Montgomery",46
1975,1,"Alabama",103,"Morgan",17
1975,1,"Alabama",105,"Perry",4
1975,1,"Alabama",107,"Pickens",9
1975,1,"Alabama",109,"Pike",8
1975,1,"Alabama",111,"Randolph",2
1975,1,"Alabama",113,"Russell",8
1975,1,"Alabama",115,"St Clair",4
1975,1,"Alabama",117,"Shelby",22
1975,1,"Alabama",119,"Sumter",7
1975,1,"Alabama",121,"Talladega",19
1975,1,"Alabama",123,"Tallapoosa",4
1975,1,"Alabama",125,"Tuscaloosa",28
1975,1,"Alabama",127,"Walker",12
1975,1,"Alabama",129,"Washington",3
1975,1,"Alabama",131,"Wilcox",7
1975,1,"Alabama",133,"Winston",12
1975,2,"Alaska",10,NA,1
1975,2,"Alaska",20,"Anchorage",41
1975,2,"Alaska",80,NA,1
1975,2,"Alaska",90,"Fairbanks North Star",14
1975,2,"Alaska",110,"Juneau",2
1975,2,"Alaska",120,NA,6
1975,2,"Alaska",130,"Ketchikan Gateway",3
1975,2,"Alaska",170,"Matanuska Susitna",9
1975,2,"Alaska",180,"Nome",1
1975,2,"Alaska",210,NA,11
1975,2,"Alaska",220,"Sitka",1
1975,2,"Alaska",240,"Southeast Fairbanks",2
1975,2,"Alaska",250,NA,1
1975,2,"Alaska",260,NA,10
1975,2,"Alaska",280,"Wrangell Petersburg",1
1975,2,"Alaska",290,"Yukon Koyukuk",8
1975,4,"Arizona",1,"Apache",34
1975,4,"Arizona",3,"Cochise",20
1975,4,"Arizona",5,"Coconino",46
1975,4,"Arizona",7,"Gila",14
1975,4,"Arizona",9,"Graham",15
1975,4,"Arizona",11,"Greenlee",7
1975,4,"Arizona",13,"Maricopa",260
1975,4,"Arizona",15,"Mohave",35
1975,4,"Arizona",17,"Navajo",25
1975,4,"Arizona",19,"Pima",99
1975,4,"Arizona",21,"Pinal",41
1975,4,"Arizona",23,"Santa Cruz",8
1975,4,"Arizona",25,"Yavapai",30
1975,4,"Arizona",27,"Yuma",36
1975,5,"Arkansas",1,"Arkansas",3
1975,5,"Arkansas",3,"Ashley",4
1975,5,"Arkansas",5,"Baxter",5
1975,5,"Arkansas",7,"Benton",23
1975,5,"Arkansas",9,"Boone",1
1975,5,"Arkansas",11,"Bradley",2
1975,5,"Arkansas",13,"Calhoun",1
1975,5,"Arkansas",15,"Carroll",2
1975,5,"Arkansas",17,"Chicot",8
1975,5,"Arkansas",19,"Clark",9
1975,5,"Arkansas",21,"Clay",5
1975,5,"Arkansas",23,"Cleburne",4
1975,5,"Arkansas",25,"Cleveland",2
1975,5,"Arkansas",27,"Columbia",7
1975,5,"Arkansas",29,"Conway",14
1975,5,"Arkansas",31,"Craighead",14
1975,5,"Arkansas",33,"Crawford",7
1975,5,"Arkansas",35,"Crittenden",21
1975,5,"Arkansas",37,"Cross",6
1975,5,"Arkansas",39,"Dallas",3
1975,5,"Arkansas",41,"Desha",4
1975,5,"Arkansas",43,"Drew",6
1975,5,"Arkansas",45,"Faulkner",5
1975,5,"Arkansas",47,"Franklin",7
1975,5,"Arkansas",49,"Fulton",10
1975,5,"Arkansas",51,"Garland",9
1975,5,"Arkansas",53,"Grant",8
1975,5,"Arkansas",55,"Greene",7
1975,5,"Arkansas",57,"Hempstead",11
1975,5,"Arkansas",59,"Hot Spring",5
1975,5,"Arkansas",61,"Howard",1
1975,5,"Arkansas",63,"Independence",8
1975,5,"Arkansas",67,"Jackson",11
1975,5,"Arkansas",69,"Jefferson",21
1975,5,"Arkansas",71,"Johnson",6
1975,5,"Arkansas",75,"Lawrence",7
1975,5,"Arkansas",77,"Lee",8
1975,5,"Arkansas",79,"Lincoln",5
1975,5,"Arkansas",81,"Little River",2
1975,5,"Arkansas",83,"Logan",5
1975,5,"Arkansas",85,"Lonoke",10
1975,5,"Arkansas",87,"Madison",2
1975,5,"Arkansas",91,"Miller",8
1975,5,"Arkansas",93,"Mississippi",16
1975,5,"Arkansas",95,"Monroe",11
1975,5,"Arkansas",97,NA,9
1975,5,"Arkansas",99,"Nevada",4
1975,5,"Arkansas",101,"Newton",2
1975,5,"Arkansas",103,"Ouachita",12
1975,5,"Arkansas",105,"Perry",2
1975,5,"Arkansas",107,"Phillips",7
1975,5,"Arkansas",109,"Pike",4
1975,5,"Arkansas",111,"Poinsett",13
1975,5,"Arkansas",113,"Polk",3
1975,5,"Arkansas",115,"Pope",7
1975,5,"Arkansas",119,"Pulaski",43
1975,5,"Arkansas",121,"Randolph",4
1975,5,"Arkansas",123,"St Francis",21
1975,5,"Arkansas",125,"Saline",8
1975,5,"Arkansas",127,"Scott",4
1975,5,"Arkansas",129,"Searcy",6
1975,5,"Arkansas",131,"Sebastian",10
1975,5,"Arkansas",133,"Sevier",2
1975,5,"Arkansas",135,"Sharp",3
1975,5,"Arkansas",137,"Stone",2
1975,5,"Arkansas",139,"Union",15
1975,5,"Arkansas",141,"Van Buren",8
1975,5,"Arkansas",143,"Washington",16
1975,5,"Arkansas",145,"White",12
1975,5,"Arkansas",147,"Woodruff",3
1975,5,"Arkansas",149,"Yell",5
1975,6,"California",1,"Alameda",126
1975,6,"California",3,"Alpine",4
1975,6,"California",5,"Amador",6
1975,6,"California",7,"Butte",40
1975,6,"California",9,"Calaveras",11
1975,6,"California",11,"Colusa",4
1975,6,"California",13,"Contra Costa",92
1975,6,"California",15,"Del Norte",9
1975,6,"California",17,"El Dorado",29
1975,6,"California",19,"Fresno",184
1975,6,"California",21,"Glenn",10
1975,6,"California",23,"Humboldt",28
1975,6,"California",25,"Imperial",62
1975,6,"California",27,"Inyo",14
1975,6,"California",29,"Kern",171
1975,6,"California",31,"Kings",30
1975,6,"California",33,"Lake",12
1975,6,"California",35,"Lassen",17
1975,6,"California",37,"Los Angeles",895
1975,6,"California",39,"Madera",18
1975,6,"California",41,"Marin",32
1975,6,"California",43,"Mariposa",10
1975,6,"California",45,"Mendocino",26
1975,6,"California",47,"Merced",33
1975,6,"California",49,"Modoc",9
1975,6,"California",51,"Mono",9
1975,6,"California",53,"Monterey",92
1975,6,"California",55,"Napa",37
1975,6,"California",57,"Nevada",13
1975,6,"California",59,"Orange",208
1975,6,"California",61,"Placer",26
1975,6,"California",63,"Plumas",10
1975,6,"California",65,"Riverside",177
1975,6,"California",67,"Sacramento",113
1975,6,"California",69,"San Benito",9
1975,6,"California",71,"San Bernardino",220
1975,6,"California",73,"San Diego",246
1975,6,"California",75,"San Francisco",86
1975,6,"California",77,"San Joaquin",107
1975,6,"California",79,"San Luis Obispo",39
1975,6,"California",81,"San Mateo",69
1975,6,"California",83,"Santa Barbara",42
1975,6,"California",85,"Santa Clara",169
1975,6,"California",87,"Santa Cruz",44
1975,6,"California",89,"Shasta",33
1975,6,"California",91,"Sierra",2
1975,6,"California",93,"Siskiyou",19
1975,6,"California",95,"Solano",46
1975,6,"California",97,"Sonoma",64
1975,6,"California",99,"Stanislaus",76
1975,6,"California",101,"Sutter",14
1975,6,"California",103,"Tehama",23
1975,6,"California",105,"Trinity",8
1975,6,"California",107,"Tulare",79
1975,6,"California",109,"Tuolumne",15
1975,6,"California",111,"Ventura",83
1975,6,"California",113,"Yolo",28
1975,6,"California",115,"Yuba",14
1975,8,"Colorado",1,"Adams",42
1975,8,"Colorado",3,"Alamosa",6
1975,8,"Colorado",5,"Arapahoe",22
1975,8,"Colorado",7,"Archuleta",1
1975,8,"Colorado",9,"Baca",7
1975,8,"Colorado",11,"Bent",3
1975,8,"Colorado",13,"Boulder",46
1975,8,"Colorado",15,"Chaffee",9
1975,8,"Colorado",19,"Clear Creek",6
1975,8,"Colorado",21,"Conejos",4
1975,8,"Colorado",23,"Costilla",2
1975,8,"Colorado",25,"Crowley",1
1975,8,"Colorado",29,"Delta",1
1975,8,"Colorado",31,"Denver",53
1975,8,"Colorado",33,"Dolores",1
1975,8,"Colorado",35,"Douglas",6
1975,8,"Colorado",37,"Eagle",8
1975,8,"Colorado",39,"Elbert",3
1975,8,"Colorado",41,"El Paso",32
1975,8,"Colorado",43,"Fremont",11
1975,8,"Colorado",45,"Garfield",14
1975,8,"Colorado",47,"Gilpin",1
1975,8,"Colorado",49,"Grand",7
1975,8,"Colorado",51,"Gunnison",12
1975,8,"Colorado",53,"Hinsdale",1
1975,8,"Colorado",55,"Huerfano",8
1975,8,"Colorado",57,"Jackson",1
1975,8,"Colorado",59,"Jefferson",48
1975,8,"Colorado",61,"Kiowa",1
1975,8,"Colorado",63,"Kit Carson",5
1975,8,"Colorado",65,"Lake",3
1975,8,"Colorado",67,"La Plata",7
1975,8,"Colorado",69,"Larimer",20
1975,8,"Colorado",71,"Las Animas",13
1975,8,"Colorado",73,"Lincoln",3
1975,8,"Colorado",75,"Logan",7
